strategy,scenario,phase,period_index,calendar_year,build_year,op_year,occupancy,it_kw,rent_eur_per_kw_month,gross_potential_revenue,revenue,opex,noi,capex,debt_draw,equity_draw,interest,principal,debt_service,debt_balance_end,terminal_or_sale_value,project_cashflow,equity_cashflow,dscr,discount_factor_project,discount_factor_equity,discounted_project_cf,discounted_equity_cf,cum_project_cf,cum_equity_cf
Powered Shell,Downside,Build,0,2026,1.0,,0.0,12000.0,47.84,0.0,0.0,0.0,0.0,-36936000.0,22161600.0,14774400.000000004,0.0,0.0,0.0,22161600.0,0.0,-36936000.0,-14774400.000000004,,1.0,1.0,-36936000.0,-14774400.000000004,-36936000.0,-14774400.000000004
Powered Shell,Downside,Build,1,2027,2.0,,0.0,12000.0,47.84,0.0,0.0,0.0,0.0,-24624000.000000004,14774400.0,9849600.000000004,0.0,0.0,0.0,36936000.0,0.0,-24624000.000000004,-9849600.000000004,,0.9259259259259258,0.8928571428571428,-22800000.0,-8794285.714285716,-61560000.0,-24624000.000000007
Powered Shell,Downside,Operate,2,2028,,1.0,0.22000000000000003,12000.0,47.84,6888960.0,1515571.2000000002,918000.0000000001,597571.2000000001,0.0,0.0,0.0,2548584.0,1481213.410218764,4029797.410218764,35454786.58978124,0.0,597571.2000000001,-3432226.210218764,0.1482881492962099,0.8573388203017832,0.7971938775510203,512320.987654321,-2736149.72115654,-60962428.8,-28056226.210218772
Powered Shell,Downside,Operate,3,2029,,2.0,0.46,12000.0,47.84,7026739.2,3232300.032,940950.0,2291350.032,0.0,0.0,0.0,2446380.2746949056,1583417.1355238585,4029797.410218764,33871369.454257384,0.0,2291350.032,-1738447.378218764,0.568601792782335,0.7938322410201696,0.7117802478134109,1818947.5308641973,-1237392.5056791261,-58671078.768,-29794673.588437535
Powered Shell,Downside,Operate,4,2030,,3.0,0.6599999999999999,12000.0,47.84,7167273.984,4730400.82944,964473.75,3765927.0794399995,0.0,0.0,0.0,2337124.4923437596,1692672.9178750045,4029797.410218764,32178696.53638238,0.0,3765927.0794399995,-263870.33077876456,0.9345201994250029,0.7350298527964533,0.6355180784048311,2768068.82684296,-167694.36556456762,-54905151.68856,-30058543.919216298
Powered Shell,Downside,Operate,5,2031,,4.0,0.78,12000.0,47.84,7310619.463680001,5702283.181670401,988585.5937499998,4713697.587920401,0.0,0.0,0.0,2220330.0610103845,1809467.3492083796,4029797.410218764,30369229.187174,0.0,4713697.587920401,683900.1777016371,1.1697108087784767,0.6805831970337529,0.5674268557185992,3208063.3742371565,388063.3274586312,-50191454.1006396,-29374643.74151466
Powered Shell,Downside,Operate,6,2032,,5.0,0.8400000000000001,12000.0,47.84,7456831.8529536,6263738.756481024,1013300.2335937497,5250438.522887275,0.0,0.0,0.0,2095476.8139150061,1934320.596303758,4029797.410218764,28434908.590870243,0.0,5250438.522887275,1220641.1126685105,1.302903840667823,0.6301696268831045,0.5066311211773206,3308666.884940552,618414.7754663796,-44941015.57775232,-28154002.62884615
Powered Shell,Downside,Operate,7,2033,,6.0,0.8700000000000001,12000.0,47.84,7605968.490012672,6617192.586311026,1038632.7394335933,5578559.846877432,0.0,0.0,0.0,1962008.6927700469,2067788.7174487172,4029797.410218764,26367119.873421524,0.0,5578559.846877432,1548762.4366586683,1.3843276172472876,0.5834903952621338,0.4523492153368934,3255036.0900479816,700581.4729658037,-39362455.73087489,-26605240.19218748
Powered Shell,Downside,Operate,8,2034,,7.0,0.8899999999999999,12000.0,47.84,7758087.859812926,6904698.195233503,1064598.557919433,5840099.63731407,0.0,0.0,0.0,1819331.2712660853,2210466.138952679,4029797.410218764,24156653.734468844,0.0,5840099.63731407,1810302.227095306,1.4492290908979046,0.5402688845019757,0.40388322797936904,3155224.1164320656,731150.707097493,-33522356.09356082,-24794937.965092175
Powered Shell,Downside,Operate,9,2035,,8.0,0.8899999999999999,12000.0,47.84,7913249.617009184,7042792.159138173,1091213.521867419,5951578.637270754,0.0,0.0,0.0,1666809.1076783503,2362988.302540414,4029797.410218764,21793665.43192843,0.0,5951578.637270754,1921781.22705199,1.4768927644299774,0.5002489671314589,0.36061002498157946,2977271.0660963506,693013.5762963486,-27570777.456290066,-22873156.738040186
Powered Shell,Downside,Operate,10,2036,,9.0,0.8899999999999999,12000.0,47.84,8071514.609349369,7183648.002320938,1118493.8599141042,6065154.142406833,0.0,0.0,0.0,1503762.9148030619,2526034.4954157025,4029797.410218764,19267630.936512727,0.0,6065154.142406833,2035356.7321880693,1.505076688725545,0.46319348808468414,0.32197323659069593,2809339.9029926923,655330.394679255,-21505623.313883234,-20837800.005852118
