strategy,scenario,phase,period_index,calendar_year,build_year,op_year,occupancy,it_kw,rent_eur_per_kw_month,gross_potential_revenue,revenue,opex,noi,capex,debt_draw,equity_draw,interest,principal,debt_service,debt_balance_end,terminal_or_sale_value,project_cashflow,equity_cashflow,dscr,discount_factor_project,discount_factor_equity,discounted_project_cf,discounted_equity_cf,cum_project_cf,cum_equity_cf
Powered Shell,Upside,Build,0,2026,1.0,,0.0,12000.0,56.160000000000004,0.0,0.0,0.0,0.0,-33174000.0,19904400.0,13269600.0,0.0,0.0,0.0,19904400.0,0.0,-33174000.0,-13269600.0,,1.0,1.0,-33174000.0,-13269600.0,-33174000.0,-13269600.0
Powered Shell,Upside,Build,1,2027,2.0,,0.0,12000.0,56.160000000000004,0.0,0.0,0.0,0.0,-22116000.0,13269600.0,8846400.0,0.0,0.0,0.0,33174000.0,0.0,-22116000.0,-8846400.0,,0.9174311926605504,0.8849557522123894,-20289908.256880734,-7828672.566371682,-55290000.0,-22116000.0
Powered Shell,Upside,Operate,2,2028,,1.0,0.31000000000000005,12000.0,56.160000000000004,8087040.0,2506982.4000000004,833000.0,1673982.4000000004,0.0,0.0,0.0,1890917.9999999998,1458131.8856998717,3349049.8856998715,31715868.114300128,0.0,1673982.4000000004,-1675067.485699871,0.4998380009649149,0.84167999326656,0.7831466833737961,1408957.49516034,-1311823.5458531377,-53616017.6,-23791067.48569987
Powered Shell,Upside,Operate,3,2029,,2.0,0.55,12000.0,56.160000000000004,8248780.8,4536829.44,853824.9999999999,3683004.4400000004,0.0,0.0,0.0,1807804.4825151071,1541245.4031847643,3349049.8856998715,30174622.711115364,0.0,3683004.4400000004,333954.55430012895,1.0997162077895835,0.7721834800610642,0.6930501622776957,2843955.185559551,231447.2580510799,-49933013.160000004,-23457112.93139974
Powered Shell,Upside,Operate,4,2030,,3.0,0.75,12000.0,56.160000000000004,8413756.416,6310317.311999999,875170.6249999999,5435146.686999999,0.0,0.0,0.0,1719953.4945335756,1629096.3911662959,3349049.8856998715,28545526.319949068,0.0,5435146.686999999,2086096.8013001275,1.6228921253778765,0.7084252110651963,0.6133187276793768,3850394.9389082766,1279442.2359894118,-44497866.473000005,-21371016.130099613
Powered Shell,Upside,Operate,5,2031,,4.0,0.87,12000.0,56.160000000000004,8582031.54432,7466367.4435584005,897049.8906249998,6569317.5529334005,0.0,0.0,0.0,1627095.0002370968,1721954.8854627747,3349049.8856998715,26823571.434486292,0.0,6569317.5529334005,3220267.667233529,1.9615466407304858,0.6499313862983452,0.5427599359994485,4269605.664212058,1747832.2729687635,-37928548.9200666,-18150748.462866083
Powered Shell,Upside,Operate,6,2032,,5.0,0.93,12000.0,56.160000000000004,8753672.1752064,8140915.122941953,919476.1378906246,7221438.985051328,0.0,0.0,0.0,1528943.5717657185,1820106.313934153,3349049.8856998715,25003465.120552137,0.0,7221438.985051328,3872389.099351457,2.156264980072765,0.5962673268792158,0.48031852743314035,4305908.119837913,1859980.2298486363,-30707109.935015276,-14278359.363514626
Powered Shell,Upside,Operate,7,2033,,6.0,0.9600000000000001,12000.0,56.160000000000004,8928745.618710529,8571595.793962108,942463.0413378902,7629132.752624217,0.0,0.0,0.0,1425197.5118714718,1923852.3738283997,3349049.8856998715,23079612.746723738,0.0,7629132.752624217,4280082.8669243455,2.277999137964441,0.5470342448433172,0.42506064374614194,4173396.8741412065,1819294.7787016951,-23077977.18239106,-9998276.49659028
Powered Shell,Upside,Operate,8,2034,,7.0,0.98,12000.0,56.160000000000004,9107320.531084739,8925174.120463043,966024.6173713374,7959149.503091706,0.0,0.0,0.0,1315537.926563253,2033511.9591366185,3349049.8856998715,21046100.787587117,0.0,7959149.503091706,4610099.617391834,2.376539548448211,0.501866279672768,0.3761598617222495,3994428.7504759943,1734134.4346039076,-15118827.679299353,-5388176.879198447
Powered Shell,Upside,Operate,9,2035,,8.0,0.98,12000.0,56.160000000000004,9289466.941706434,9103677.602872305,990175.2328056209,8113502.370066684,0.0,0.0,0.0,1199627.7448924656,2149422.140807406,3349049.885699872,18896678.646779712,0.0,8113502.370066684,4764452.484366812,2.422628102588312,0.4604277795163009,0.3328848333825217,3735681.8803500477,1586013.971417388,-7005325.309232669,-623724.394831635
Powered Shell,Upside,Operate,10,2036,,9.0,0.98,12000.0,56.160000000000004,9475256.280540563,9285751.154929752,1014929.6136257611,8270821.54130399,0.0,0.0,0.0,1077110.6828664434,2271939.202833428,3349049.8856998715,16624739.443946283,0.0,8270821.54130399,4921771.6556041185,2.469602371890494,0.42241080689568883,0.2945883481261255,3493684.4009524635,1449896.5818784032,1265496.2320713215,4298047.260772483
Powered Shell,Upside,Operate,11,2037,,10.0,0.98,12000.0,56.160000000000004,9664761.406151375,9471466.178028347,1040302.8539664051,8431163.324061941,0.0,0.0,0.0,947610.1483049381,2401439.7373949336,3349049.885699872,14223299.70655135,122779786.80390501,131210950.12796696,113638600.53571573,2.517479169259979,0.3875328503630173,0.2606976532089606,50848553.50193074,29625316.473611623,132476446.36003828,117936647.79648821
