strategy,scenario,phase,period_index,calendar_year,build_year,op_year,occupancy,it_kw,rent_eur_per_kw_month,gross_potential_revenue,revenue,opex,noi,capex,debt_draw,equity_draw,interest,principal,debt_service,debt_balance_end,terminal_or_sale_value,project_cashflow,equity_cashflow,dscr,discount_factor_project,discount_factor_equity,discounted_project_cf,discounted_equity_cf,cum_project_cf,cum_equity_cf
Turnkey,Base,Build,0,2026,1.0,,0.0,12000.0,90.0,0.0,0.0,0.0,0.0,-71400000.0,42840000.0,28560000.0,0.0,0.0,0.0,42840000.0,0.0,-71400000.0,-28560000.0,,1.0,1.0,-71400000.0,-28560000.0,-71400000.0,-28560000.0
Turnkey,Base,Build,1,2027,2.0,,0.0,12000.0,90.0,0.0,0.0,0.0,0.0,-47600000.0,28560000.0,19040000.0,0.0,0.0,0.0,71400000.0,0.0,-47600000.0,-19040000.0,,0.9174311926605504,0.8849557522123894,-43669724.7706422,-16849557.522123896,-119000000.0,-47600000.0
Turnkey,Base,Operate,2,2028,,1.0,0.4,12000.0,90.0,12960000.0,5184000.0,1500000.0,3684000.0,0.0,0.0,0.0,4141200.0,3114574.9761864115,7255774.976186411,68285425.02381359,0.0,3684000.0,-3571774.9761864115,0.507733496709994,0.84167999326656,0.7831466833737961,3100749.095194007,-2797223.7263579075,-115316000.0,-51171774.97618641
Turnkey,Base,Operate,3,2029,,2.0,0.7,12000.0,90.0,13219200.0,9253440.0,1537499.9999999998,7715940.0,0.0,0.0,0.0,3960554.6513811885,3295220.324805223,7255774.976186411,64990204.69900837,0.0,7715940.0,460165.02381358854,1.063420520250953,0.7721834800610642,0.6930501622776957,5958121.401142367,318917.44442852726,-107600060.0,-50711609.95237282
Turnkey,Base,Operate,4,2030,,3.0,0.85,12000.0,90.0,13483584.0,11461046.4,1575937.4999999998,9885108.9,0.0,0.0,0.0,3769431.8725424856,3486343.103643926,7255774.976186411,61503861.595364444,0.0,9885108.9,2629333.923813589,1.362378096405017,0.7084252110651963,0.6133187276793768,7002860.35888495,1612619.7367975737,-97714951.1,-48082276.02855923
Turnkey,Base,Operate,5,2031,,4.0,0.92,12000.0,90.0,13753255.680000002,12652995.225600002,1615335.9374999995,11037659.288100002,0.0,0.0,0.0,3567223.972531138,3688551.0036552735,7255774.976186411,57815310.59170917,0.0,11037659.288100002,3781884.311913591,1.5212240352444508,0.6499313862983452,0.5427599359994485,7173721.202603641,2052655.287091539,-86677291.81189999,-44300391.71664564
Turnkey,Base,Operate,6,2032,,5.0,0.95,12000.0,90.0,14028320.7936,13326904.75392,1655719.3359374993,11671185.4179825,0.0,0.0,0.0,3353288.0143191316,3902486.96186728,7255774.976186411,53912823.62984189,0.0,11671185.4179825,4415410.441796089,1.6085374003862507,0.5962673268792158,0.48031852743314035,6959146.530692108,2120803.441416409,-75006106.39391749,-39884981.27484956
Turnkey,Base,Operate,7,2033,,6.0,0.95,12000.0,90.0,14308887.209472,13593442.8489984,1697112.3193359366,11896330.529662464,0.0,0.0,0.0,3126943.7705308297,4128831.205655582,7255774.976186411,49783992.424186304,0.0,11896330.529662464,4640555.553476052,1.639567181825021,0.5470342448433172,0.42506064374614194,6507700.187700406,1972517.5309002649,-63109775.864255026,-35244425.721373506
Turnkey,Base,Operate,8,2034,,7.0,0.95,12000.0,90.0,14595064.953661442,13865311.70597837,1739540.127319335,12125771.578659035,0.0,0.0,0.0,2887471.5606028056,4368303.415583606,7255774.976186411,45415689.0086027,0.0,12125771.578659035,4869996.602472624,1.6711890347283431,0.501866279672768,0.3761598617222495,6085515.870343396,1831897.2485739272,-50984004.28559599,-30374429.11890088
Turnkey,Base,Operate,9,2035,,8.0,0.95,12000.0,90.0,14886966.252734669,14142617.940097934,1783028.6305023185,12359589.309595615,0.0,0.0,0.0,2634109.962498957,4621665.013687454,7255774.976186411,40794023.99491525,0.0,12359589.309595615,5103814.333409203,1.7034140874214012,0.4604277795163009,0.3328848333825217,5690698.261550519,1698982.383992249,-38624414.976000376,-25270614.785491675
Turnkey,Base,Operate,10,2036,,9.0,0.95,12000.0,90.0,15184705.577789364,14425470.298899895,1827604.346264876,12597865.952635018,0.0,0.0,0.0,2366053.3917050846,4889721.584481327,7255774.976186411,35904302.41043392,0.0,12597865.952635018,5342090.976448607,1.7362536729682838,0.42241080689568883,0.2945883481261255,5321474.722216284,1573717.7562914758,-26026549.023365356,-19928523.80904307
Turnkey,Base,Operate,11,2037,,10.0,0.95,12000.0,90.0,15488399.689345151,14713979.704877893,1873294.4549214977,12840685.249956395,0.0,0.0,0.0,2082449.5398051674,5173325.436381244,7255774.976186411,30730976.974052675,193898259.00268024,206738944.25263664,168752192.30239755,1.7697193328210652,0.3875328503630173,0.2606976532089606,80118132.34726521,43993300.507102266,180712395.2292713,148823668.49335447
