strategy,scenario,phase,period_index,calendar_year,build_year,op_year,occupancy,it_kw,rent_eur_per_kw_month,gross_potential_revenue,revenue,opex,noi,capex,debt_draw,equity_draw,interest,principal,debt_service,debt_balance_end,terminal_or_sale_value,project_cashflow,equity_cashflow,dscr,discount_factor_project,discount_factor_equity,discounted_project_cf,discounted_equity_cf,cum_project_cf,cum_equity_cf
Turnkey,Downside,Build,0,2026,1.0,,0.0,12000.0,82.8,0.0,0.0,0.0,0.0,-77112000.0,46267200.0,30844800.000000007,0.0,0.0,0.0,46267200.0,0.0,-77112000.0,-30844800.000000007,,1.0,1.0,-77112000.0,-30844800.000000007,-77112000.0,-30844800.000000007
Turnkey,Downside,Build,1,2027,2.0,,0.0,12000.0,82.8,0.0,0.0,0.0,0.0,-51408000.00000001,30844800.0,20563200.000000007,0.0,0.0,0.0,77112000.0,0.0,-51408000.00000001,-20563200.000000007,,0.9259259259259258,0.8928571428571428,-47600000.0,-18360000.000000004,-128520000.0,-51408000.000000015
Turnkey,Downside,Operate,2,2028,,1.0,0.34,12000.0,82.8,11923200.0,4053888.0000000005,1620000.0,2433888.0000000005,0.0,0.0,0.0,5089392.0,3164448.1418718286,8253840.141871829,73947551.85812818,0.0,2433888.0000000005,-5819952.141871829,0.2948794692125012,0.8573388203017832,0.7971938775510203,2086666.666666667,-4639630.2151401695,-126086112.0,-57227952.14187184
Turnkey,Downside,Operate,3,2029,,2.0,0.6399999999999999,12000.0,82.8,12161664.0,7783464.959999999,1660499.9999999998,6122964.959999999,0.0,0.0,0.0,4880538.42263646,3373301.719235369,8253840.141871829,70574250.1388928,0.0,6122964.959999999,-2130875.1818718296,0.741832268950561,0.7938322410201696,0.7117802478134109,4860606.995884772,-1516714.8650121777,-119963147.04,-59358827.32374367
Turnkey,Downside,Operate,4,2030,,3.0,0.79,12000.0,82.8,12404897.28,9799868.8512,1702012.4999999998,8097856.351199999,0.0,0.0,0.0,4657900.509166925,3595939.6327049034,8253840.141871829,66978310.50618789,0.0,8097856.351199999,-155983.79067182913,0.9811016704963158,0.7350298527964533,0.6355180784048311,5952166.1617893595,-99130.51891006227,-111865290.6888,-59514811.1144155
Turnkey,Downside,Operate,5,2031,,4.0,0.8600000000000001,12000.0,82.8,12652995.225600002,10881575.894016003,1744562.8124999995,9137013.081516003,0.0,0.0,0.0,4420568.4934084015,3833271.648463427,8253840.141871829,63145038.857724465,0.0,9137013.081516003,883172.9396441747,1.1070014592557744,0.6805831970337529,0.5674268557185992,6218497.574357384,501136.0441980462,-102728277.60728401,-58631638.174771324
Turnkey,Downside,Operate,6,2032,,5.0,0.8899999999999999,12000.0,82.8,12906055.130112,11486389.065799678,1788176.8828124993,9698212.182987178,0.0,0.0,0.0,4167572.564609815,4086267.5772620137,8253840.141871829,59058771.28046245,0.0,9698212.182987178,1444372.0411153492,1.1749939441870254,0.6301696268831045,0.5066311211773206,6111518.752786208,731763.8265874443,-93030065.42429683,-57187266.13365597
Turnkey,Downside,Operate,7,2033,,6.0,0.8899999999999999,12000.0,82.8,13164176.23271424,11716116.847115671,1832881.3048828116,9883235.54223286,0.0,0.0,0.0,3897878.904510522,4355961.237361306,8253840.141871829,54702810.04310115,0.0,9883235.54223286,1629395.4003610313,1.1974105837227316,0.5834903952621338,0.4523492153368934,5766773.013006221,737055.7308268558,-83146829.88206397,-55557870.73329494
Turnkey,Downside,Operate,8,2034,,7.0,0.8899999999999999,12000.0,82.8,13427459.757368525,11950439.184057986,1878703.3375048817,10071735.846553104,0.0,0.0,0.0,3610385.462844676,4643454.679027153,8253840.141871829,50059355.36407399,0.0,10071735.846553104,1817895.7046812754,1.220248475065451,0.5402688845019757,0.40388322797936904,5441445.490815808,734217.5853365033,-73075094.03551087,-53739975.028613664
Turnkey,Downside,Operate,9,2035,,8.0,0.8899999999999999,12000.0,82.8,13696008.952515896,12189447.967739146,1925670.920942504,10263777.046796642,0.0,0.0,0.0,3303917.4540288835,4949922.687842945,8253840.141871829,45109432.67623105,0.0,10263777.046796642,2009936.9049248137,1.2435153662267313,0.5002489671314589,0.36061002498157946,5134443.8665275965,724803.3974963356,-62811316.988714226,-51730038.12368885
Turnkey,Downside,Operate,10,2036,,9.0,0.8899999999999999,12000.0,82.8,13969929.131566215,12433236.92709393,1973812.693966066,10459424.233127864,0.0,0.0,0.0,2977222.5566312494,5276617.585240579,8253840.141871829,39832815.09099047,0.0,10459424.233127864,2205584.0912560355,1.2672191432527364,0.46319348808468414,0.32197323659069593,4844737.193899968,710139.0484346546,-52351892.75558636,-49524454.03243281
Turnkey,Downside,Operate,11,2037,,10.0,0.8899999999999999,12000.0,82.8,14249327.714197539,12681901.665635807,2023158.0113152177,10658743.65432059,0.0,0.0,0.0,2628965.796005371,5624874.345866458,8253840.141871829,34207940.74512401,0.0,10658743.65432059,2404903.5124487616,1.2913678325617985,0.4288828593376705,0.2874761040988356,4571352.455412266,691352.2924923756,-41693149.10126577,-47119550.51998405
Turnkey,Downside,Operate,12,2038,,11.0,0.8899999999999999,12000.0,82.8,14534314.268481491,12935539.698948525,2073736.9615980978,10861802.737350427,0.0,0.0,0.0,2257724.089178185,5996116.052693644,8253840.141871829,28211824.69243037,0.0,10861802.737350427,2607962.595478598,1.3159696033181418,0.3971137586459912,0.25667509294538887,4313371.310700544,669399.0415925668,-30831346.363915347,-44511587.92450546
Turnkey,Downside,Operate,13,2039,,12.0,0.8899999999999999,12000.0,82.8,14825000.55385112,13194250.492927495,2125580.3856380503,11068670.107289445,0.0,0.0,0.0,1861980.4297004044,6391859.712171424,8253840.141871829,21819964.980258945,0.0,11068670.107289445,2814829.965417616,1.34103276984224,0.367697924672214,0.2291741901298115,4069927.0273317015,645086.3776777075,-19762676.256625902,-41696757.95908784
Turnkey,Downside,Operate,14,2040,,13.0,0.8899999999999999,12000.0,82.8,15121500.564928142,13458135.502786046,2178719.8952790014,11279415.607507044,0.0,0.0,0.0,1440117.6886970904,6813722.453174738,8253840.141871829,15006242.527084207,0.0,11279415.607507044,3025575.465635216,1.3665657940582634,0.34046104136316113,0.20461981261590312,3840201.583699741,619092.6848335516,-8483260.649118857,-38671182.49345262
