strategy,scenario,phase,period_index,calendar_year,build_year,op_year,occupancy,it_kw,rent_eur_per_kw_month,gross_potential_revenue,revenue,opex,noi,capex,debt_draw,equity_draw,interest,principal,debt_service,debt_balance_end,terminal_or_sale_value,project_cashflow,equity_cashflow,dscr,discount_factor_project,discount_factor_equity,discounted_project_cf,discounted_equity_cf,cum_project_cf,cum_equity_cf
Turnkey,Upside,Build,0,2026,1.0,,0.0,12000.0,97.2,0.0,0.0,0.0,0.0,-69258000.0,41554800.0,27703200.0,0.0,0.0,0.0,41554800.0,0.0,-69258000.0,-27703200.0,,1.0,1.0,-69258000.0,-27703200.0,-69258000.0,-27703200.0
Turnkey,Upside,Build,1,2027,2.0,,0.0,12000.0,97.2,0.0,0.0,0.0,0.0,-46172000.0,27703200.0,18468800.0,0.0,0.0,0.0,69258000.0,0.0,-46172000.0,-18468800.0,,0.9259259259259258,0.8928571428571428,-42751851.85185184,-16489999.999999998,-115430000.0,-46172000.0
Turnkey,Upside,Operate,2,2028,,1.0,0.43000000000000005,12000.0,97.2,13996800.0,6018624.000000001,1470000.0,4548624.000000001,0.0,0.0,0.0,3739932.0000000005,3114157.953614406,6854089.953614406,66143842.04638559,0.0,4548624.000000001,-2305465.9536144054,0.6636364609719412,0.8573388203017832,0.7971938775510203,3899711.934156379,-1837903.3431237286,-110881376.0,-48477465.95361441
Turnkey,Upside,Operate,3,2029,,2.0,0.73,12000.0,97.2,14276736.0,10422017.28,1506749.9999999998,8915267.28,0.0,0.0,0.0,3571767.4705048227,3282322.4831095836,6854089.953614406,62861519.56327601,0.0,8915267.28,2061177.326385593,1.3007222461821735,0.7938322410201696,0.7117802478134109,7077226.604176192,1467105.308162121,-101966108.72,-46416288.62722881
Turnkey,Upside,Operate,4,2030,,3.0,0.88,12000.0,97.2,14562270.72,12814798.2336,1544418.7499999998,11270379.4836,0.0,0.0,0.0,3394522.056416905,3459567.8971975013,6854089.953614406,59401951.66607851,0.0,11270379.4836,4416289.529985594,1.6443290881609638,0.7350298527964533,0.6355180784048311,8284065.372790675,2806631.835775819,-90695729.2364,-41999999.09724322
Turnkey,Upside,Operate,5,2031,,4.0,0.9500000000000001,12000.0,97.2,14853516.134400003,14110840.327680003,1583029.2187499995,12527811.108930003,0.0,0.0,0.0,3207705.3899682397,3646384.5636461666,6854089.953614406,55755567.10243234,0.0,12527811.108930003,5673721.155315597,1.8277862114026737,0.6805831970337529,0.5674268557185992,8526217.736350548,3219421.755384827,-78167918.12746999,-36326277.94192763
Turnkey,Upside,Operate,6,2032,,5.0,0.98,12000.0,97.2,15150586.457088,14847574.727946239,1622604.9492187493,13224969.778727489,0.0,0.0,0.0,3010800.6235313467,3843289.3300830596,6854089.953614406,51912277.77234928,0.0,13224969.778727489,6370879.825113082,1.9295004688045405,0.6301696268831045,0.5066311211773206,8333974.271001034,3227685.988683013,-64942948.3487425,-29955398.116814546
Turnkey,Upside,Operate,7,2033,,6.0,0.98,12000.0,97.2,15453598.18622976,15144526.222505165,1663170.0729492179,13481356.149555948,0.0,0.0,0.0,2803262.9997068616,4050826.9539075447,6854089.953614406,47861450.81844174,0.0,13481356.149555948,6627266.195941541,1.9669068017478744,0.5834903952621338,0.4523492153368934,7866241.8283739975,2997838.6635628743,-51461592.19918655,-23328131.920873005
Turnkey,Upside,Operate,8,2034,,7.0,0.98,12000.0,97.2,15762670.149954356,15447416.746955268,1704749.3247729482,13742667.42218232,0.0,0.0,0.0,2584518.3441958544,4269571.609418552,6854089.953614406,43591879.20902319,0.0,13742667.42218232,6888577.468567913,2.005031669439255,0.5402688845019757,0.40388322797936904,7424735.598264084,2782180.9041911596,-37718924.77700423,-16439554.452305092
Turnkey,Upside,Operate,9,2035,,8.0,0.98,12000.0,97.2,16077923.552953443,15756365.081894374,1747368.057892272,14008997.024002101,0.0,0.0,0.0,2353961.477287253,4500128.476327153,6854089.953614406,39091750.73269604,0.0,14008997.024002101,7154907.070387695,2.0438887027758743,0.5002489671314589,0.36061002498157946,7007986.291804734,2580131.217393386,-23709927.753002126,-9284647.381917397
